"";"codeGeo";"libgeo_cp"
"427";"54140";"JARVILLE LA MALGRANGE"
"428";"68180";"HORBOURG WIHR"
"429";"78670";"VILLENNES SUR SEINE"
"430";"91830";"LE COUDRAY MONTCEAUX"
"431";"25000";"BESANCON"
"432";"9B027";NA
"433";"61190";"TOUROUVRE"
"434";"45170";"NEUVILLE AUX BOIS"
"435";"02250";"MARLE"
"436";"77720";"MORMANT"
"437";"80470";"AILLY SUR SOMME"
"438";"78170";"LA CELLE ST CLOUD"
"439";"78999";NA
"440";"78C02";"THIVERVAL GRIGNON/NEAUPHLE LE CHATEAU"
"441";"64100";"BAYONNE"
"442";"77176";"SAVIGNY LE TEMPLE"
"443";"60170";"RIBECOURT DRESLINCOURT"
"444";"94480";"ABLON SUR SEINE"
"445";"91300";"MASSY"
"446";"60240";"CHAUMONT EN VEXIN"
"447";"77860";"QUINCY VOISINS"
"448";"95280";"JOUY LE MOUTIER"
"449";"28170";"CHATEAUNEUF EN THYMERAIS"
"450";"77680";"ROISSY EN BRIE"
"451";"77950";"RUBELLES"
"452";"69830";"ST GEORGES DE RENEINS"
"453";"57100";"THIONVILLE"
"454";"77181";"COURTRY"
"455";"99999";NA
"456";"77600";"BUSSY ST GEORGES"
"457";"50270";"BARNEVILLE CARTERET"
"458";"60300";"SENLIS"
"459";"77320";"LA FERTE GAUCHER"
"460";"58290";"MOULINS ENGILBERT"
"461";"28700";"AUNEAU"
"462";"9B033";NA
"463";"93360";"NEUILLY PLAISANCE"
"464";"10120";"ST ANDRE LES VERGERS"
"465";"78480";"VERNEUIL SUR SEINE"
"466";"99416";NA
"467";"91620";"LA VILLE DU BOIS"
"468";"45320";"COURTENAY"
"469";"78160";"MARLY LE ROI"
"470";"03350";"CERILLY"
"471";"28360";"DAMMARIE"
"472";"78510";"TRIEL SUR SEINE"
"473";"84000";"AVIGNON"
"474";"94999";NA
"475";"9B030";NA
"476";"94420";"LE PLESSIS TREVISE"
"477";"78960";"VOISINS LE BRETONNEUX"
"478";"28100";"DREUX"
"479";"95260";"BEAUMONT SUR OISE"
"480";"95700";"ROISSY EN FRANCE"
"481";"9C010";NA
"482";"78690";"LES ESSARTS LE ROI"
"483";"91570";"BIEVRES"
"484";"91090";"LISSES"
"485";"78320";"LE MESNIL ST DENIS"
"486";"10250";"MUSSY SUR SEINE"
"487";"77130";"MONTEREAU FAULT YONNE"
"488";"10320";"BOUILLY"
"489";"35400";"ST MALO"
"490";"51100";"REIMS"
"491";"95270";"VIARMES"
"492";"91460";"MARCOUSSIS"
"493";"78700";"CONFLANS STE HONORINE"
"494";"9B032";NA
"495";"95320";"ST LEU LA FORET"
"496";"17300";"ROCHEFORT"
"497";"28110";"LUCE"
"498";"77150";"LESIGNY"
"499";"44980";"STE LUCE SUR LOIRE"
"500";"72370";"LE BREIL SUR MERIZE"
"501";"41000";"BLOIS"
"502";"84200";"CARPENTRAS"
"503";"13200";"ARLES"
"504";"78450";"VILLEPREUX"
"505";"95350";"ST BRICE SOUS FORET"
"506";"77390";"GUIGNES"
"507";"78380";"BOUGIVAL"
"508";"93370";"MONTFERMEIL"
"509";"76450";"CANY BARVILLE"
"510";"77120";"COULOMMIERS"
"511";"72320";"VIBRAYE"
"512";"91720";"MAISSE"
"513";"06000";"NICE"
"514";"91360";"EPINAY SUR ORGE"
"515";"78660";"ABLIS"
"516";"9D030";NA
"517";"91320";"WISSOUS"
"518";"80000";"AMIENS"
"519";"10700";"ARCIS SUR AUBE"
"520";"77670";"ST MAMMES"
"521";"94510";"LA QUEUE EN BRIE"
"522";"45190";"BEAUGENCY"
"523";"78540";"VERNOUILLET"
"524";"25220";"THISE"
"525";"78870";"BAILLY"
"526";"77260";"LA FERTE SOUS JOUARRE"
"527";"45800";"ST JEAN DE BRAYE"
"528";"95870";"BEZONS"
"529";"91530";"ST CHERON"
"530";"99132";NA
"531";"93290";"TREMBLAY EN FRANCE"
"532";"10500";"BRIENNE LE CHATEAU"
"533";"77580";"CRECY LA CHAPELLE"
"534";"95230";"SOISY SOUS MONTMORENCY"
"535";"56000";"VANNES"
"536";"91750";"CHAMPCUEIL"
"537";"59700";"MARCQ EN BAROEUL"
"538";"59170";"CROIX"
"539";"62400";"BEUVRY/BETHUNE"
"540";"95000";"CERGY"
"541";"41220";"ST LAURENT NOUAN"
"542";"35000";"RENNES"
"543";"95490";"VAUREAL"
"544";"18130";"DUN SUR AURON"
"545";"02600";"VILLERS COTTERETS"
"546";"2BC02";"MURATO/FURIANI/CAMPITELLO/BORGO/BIGUGLIA/BASTIA"
"547";"77124";"CREGY LES MEAUX"
"548";"02100";"ST QUENTIN"
"549";"78940";"LA QUEUE LES YVELINES"
"550";"60800";"CREPY EN VALOIS"
"551";"31000";"TOULOUSE"
"552";"9H001";NA
"553";"94360";"BRY SUR MARNE"
"554";"91470";"LIMOURS"
"555";"51000";"CHALONS EN CHAMPAGNE"
"556";"89340";"VILLENEUVE LA GUYARD"
"557";"95670";"MARLY LA VILLE"
"558";"06600";"ANTIBES"
"559";"99352";NA
"560";"27120";"PACY SUR EURE"
"561";"45220";"CHATEAU RENARD"
"562";"9F000";NA
"563";"28500";"VERNOUILLET"
"564";"72220";"ECOMMOY"
"565";"77C04";"VAUDOY EN BRIE/TOUQUIN"
"566";"60000";"BEAUVAIS"
"567";"78750";"MAREIL MARLY"
"568";"9B090";NA
"569";"78630";"ORGEVAL"
"570";"93430";"VILLETANEUSE"
"571";"77380";"COMBS LA VILLE"
"572";"91510";"LARDY"
"573";"60340";"ST LEU D ESSERENT"
"574";"13100";"LE THOLONET/AIX EN PROVENCE"
"575";"78610";"LE PERRAY EN YVELINES"
"576";"78720";"CERNAY LA VILLE"
"577";"28120";"ILLIERS COMBRAY"
"578";"9A014";NA
"579";"11210";"PORT LA NOUVELLE"
"580";"89580";"COULANGES LA VINEUSE"
"581";"06400";"CANNES"
"582";"95650";"BOISSY L AILLERIE"
"583";"91550";"PARAY VIEILLE POSTE"
"584";"9D050";NA
"585";"36800";"ST GAULTIER"
"586";"99139";NA
"587";"26170";"BUIS LES BARONNIES"
"588";"06450";"ROQUEBILLIERE"
"589";"06480";"LA COLLE SUR LOUP"
"590";"87C04";"PEYRAT LE CHATEAU/BUJALEUF"
"591";"76133";"EPOUVILLE"
"592";"45120";"CHALETTE SUR LOING"
"593";"62223";"ST LAURENT BLANGY"
"594";"9B024";NA
"595";"99301";NA
"596";"59890";"QUESNOY SUR DEULE"
"597";"62000";"ARRAS"
"598";"86170";"NEUVILLE DE POITOU"
"599";"95830";"CORMEILLES EN VEXIN"
"600";"9G010";NA
"601";"21000";"DIJON"
"602";"29670";"TAULE"
"603";"45290";"NOGENT SUR VERNISSON"
"604";"61130";"BELLEME"
"605";"39100";"DOLE"
"606";"72650";"LA BAZOGE"
"607";"77C02";"MAY EN MULTIEN/ETREPILLY"
"608";"62138";"DOUVRIN"
"609";"15220";"ST MAMET LA SALVETAT"
"610";"14910";"BLONVILLE SUR MER"
"611";"60280";"MARGNY LES COMPIEGNE"
"612";"59551";"ATTICHES"
"613";"62117";"BREBIERES"
"614";"83000";"TOULON/LE REVEST LES EAUX"
"615";"52000";"CHAUMONT"
"616";"62200";"BOULOGNE SUR MER"
"617";"99105";NA
"618";"60550";"VERNEUIL EN HALATTE"
"619";"77480";"BRAY SUR SEINE"
"620";"99135";NA
"621";"9CC03";NA
"622";"9D038";NA
"623";"44470";"CARQUEFOU"
"624";"62830";"SAMER"
"625";"95680";"MONTLIGNON"
"626";"59282";"DOUCHY LES MINES"
"627";"77870";"VULAINES SUR SEINE"
"628";"9B018";NA
"629";"45640";"SANDILLON"
"630";"99405";NA
"631";"62300";"LENS"
"632";"37170";"CHAMBRAY LES TOURS"
"633";"61C01";"ST CLAIR DE HALOUZE/LA FERRIERE AUX ETANGS"
"634";"27C03";"ST GEORGES MOTEL/MESNIL SUR L ESTREE"
"635";"27180";"ST SEBASTIEN DE MORSENT"
"636";"37700";"ST PIERRE DES CORPS"
"637";"56100";"LORIENT"
"638";"91270";"VIGNEUX SUR SEINE"
"639";"80800";"CORBIE"
"640";"29250";"ST POL DE LEON"
"641";"38190";"VILLARD BONNOT"
"642";"77640";"JOUARRE"
"643";"60500";"CHANTILLY"
"644";"62231";"SANGATTE"
"645";"99109";NA
"646";"33000";"BORDEAUX"
"647";"91610";"BALLANCOURT SUR ESSONNE"
"648";"59290";"WASQUEHAL"
"649";"30320";"MARGUERITTES"
"650";"99131";NA
"651";"62111";"BIENVILLERS AU BOIS"
"652";"59500";"DOUAI"
"653";"31190";"AUTERIVE"
"654";"9B017";NA
"655";"99350";NA
"656";"76800";"ST ETIENNE DU ROUVRAY"
"657";"10130";"ERVY LE CHATEL"
"658";"95410";"GROSLAY"
"659";"62140";"HESDIN"
"660";"87000";"LIMOGES"
"661";"77123";"NOISY SUR ECOLE"
"662";"59187";"DECHY"
"663";"99401";NA
"664";"95590";"PRESLES"
"665";"35310";"MORDELLES"
"666";"29180";"PLOGONNEC"
"667";"44600";"ST NAZAIRE"
"668";"19360";"MALEMORT SUR CORREZE"
"669";"68100";"MULHOUSE"
"670";"57260";"DIEUZE"
"671";"78430";"LOUVECIENNES"
"672";"99436";NA
"673";"10370";"VILLENAUXE LA GRANDE"
"674";"03800";"GANNAT"
"675";"91630";"MAROLLES EN HUREPOIX"
"676";"04C04";"ST MICHEL L OBSERVATOIRE/REILLANNE/CERESTE"
"677";"29200";"BREST"
"678";"72000";"LE MANS"
"679";"59239";"THUMERIES"
"680";"78710";"ROSNY SUR SEINE"
"681";"99226";NA
"682";"60530";"NEUILLY EN THELLE"
"683";"9J000";NA
"684";"52130";"WASSY"
"685";"10400";"NOGENT SUR SEINE"
"686";"02400";"CHATEAU THIERRY"
"687";"60870";"VILLERS ST PAUL"
"688";"81310";"LISLE SUR TARN"
"689";"29600";"MORLAIX"
"690";"09400";"TARASCON SUR ARIEGE"
"691";"99333";NA
"692";"02800";"LA FERE"
"693";"15250";"JUSSAC"
"694";"02170";"LE NOUVION EN THIERACHE"
"695";"78230";"LE PECQ"
